prov,city,city_id,year,turnover_commercial,size_commercial,turnover_housing,size_housing,hp_commercial,hp_housing,CPI_ly,cpi2013,hp_housing_deflate,hp_housing_minus,hp_housing_deflate_minus,rhp,rhp_deflate,lhp,lhp_deflate,province1,province2,province3,province4,province5,province6,province7,province8,province9,province10,province11,province12,province13,province14,province15,province16,province17,province18,province19,province20,province21,province22,province23,province24,province25,province26,province27,province28,province29,province30,province31,detail_fact,renewal,detail_plan,renewal_plan,lnrenewal,city_id2,pop_city_hk,pop_city_cz,pop_prov_cz,pop_prov_hk,detail_shiji_prov,棚改量,renewal_prov,detail_plan_prov,renewal_plan_prov,pop_r_hk,pop_r_cz,r_hk_lag,r_cz_lag,instrument1,instrument2,linstru2,capital,lpop_hk,lpop_cz,largecity,nearport,agdp,gdp,gdp_deflate,agdp_deflate,lgdp_deflate,lagdp_deflate,agdp_deflate1,size,price,landp,city_id3,landp_lag,landp_deflate,lnlandp_deflate,lnlandp,interestr,interestr_deflate,pop_city2000,pop_prov2000,pop_r2000,instrument3,renewal_r,lnrenewal_lag,export_us,exchange,export_rmb,export_share,east,renewal_east,instru2_east,lnrenewal_plan,positive,renewal_pos,instru2_pos,d_lhp_deflate,renewal_group,city_obs_count
黑龙江省,七台河市,1.0,2014.0,46826.0,14.2118,43545.0,13.3937,3294.8677,3251.1553939538735,101.5,101.5,3203.1086,3479.178,3479.178,-0.06553921,-0.07934901,8.086765,8.0718775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,建成廉租房1800套、公租房200套、城市棚改房2256套,,,,,1.0,88.2247,85.28240724708807,3833.0,3746.9552,保障性安居工程建成19.1万套，新开工16.6万套,,,,,0.023545705,0.02224952,0.024343701,0.024031997,,,,0,4.479887,4.445968,0,1.70514209950534,25123.47,214.259,211.0926,24752.188,5.352297,10.116669,2.4752188,305.79460199999994,24705.192600000002,0.080790155,1.0,0.090130515,0.079596214,-2.5307887,-2.5159001,6.33,6.236453,86.32,3807.0,0.022674022,,,,1766.0,6.1424,10847.479,506278.78,0.0,,,,0.0,,,,high,5
黑龙江省,七台河市,1.0,2015.0,41558.0,11.6252,27627.0,8.8102,3574.8203,3135.7971442192006,101.1,102.6165,3055.841,3251.1553,3203.1086,-0.035482198,-0.045976453,8.050639,8.02481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,煤矿棚户区完成安置分配8605套，采煤沉陷区棚户区改造工程开工建设4421 套;建成城市棚改房800 套、公租房273 套，改造农村泥草房危房476 户，完成暖房子工程100 万平方米,,建成公租房444套、城市棚改房800套,,,1.0,83.1095,85.68666156387222,3812.0,3690.0421,,,,分类推进采煤沉陷区、煤城棚户区、国有工矿棚户区和其它地区棚户区改造。保障性安居工程力争开工20万套，基本建成11.1万套。,,0.022522643,0.022478137,0.023545705,0.02224952,,,,0,4.420159,4.450697,0,1.70514209950534,24823.0,212.7,207.27661,24190.066,5.334054,10.093698,2.4190066,331.98919399999977,43950.82239999999,0.13238631,1.0,0.080790155,0.12901075,-2.0478594,-2.022031,5.31,5.1746063,86.32,3807.0,0.022674022,,,,174.0,6.2272,1083.5328,50941.836,0.0,,,,0.0,,,-0.047067642,high,5
黑龙江省,七台河市,1.0,2016.0,28498.0,9.0342,21473.0,7.6561,3154.4575,2804.6916837554368,101.5,104.1557475,2692.7864,3135.797,3055.841,-0.10558892,-0.118806794,7.939049,7.8983316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,湖东家园采煤沉陷区棚改工程5512套住宅竣工，建立货币化安置平台，签订16607套货币化安置协议,,续建4421套采沉区棚户区保障房，新建1081 套，完成16607 套货币化安置,,,1.0,80.1302,84.625546875,3799.0,3659.0063,全省棚改开工20.8万套，建成19.9万套，货币化安置9万余套。,,20.8,多路径推进，有效实施货币化安置。确保完成棚改17.7万套，力争完成20.4万套,17.7,0.021899443,0.022275742,0.022522643,0.022478137,0.3986508,0.39786303,-0.9216475,0,4.3836527,4.438236,0,1.70514209950534,25600.0,216.6414,207.99754,24578.576,5.3375263,10.109631,2.4578576,207.33170900000007,20389.960499999997,0.09834463,1.0,0.13238631,0.094420746,-2.3599944,-2.3192773,4.75,4.560478,86.32,3807.0,0.022674022,0.4013302,,,174.79,6.6401,1160.623,53573.465,0.0,,0.0,,0.0,,0.0,-0.1264782,high,5
黑龙江省,七台河市,1.0,2017.0,70744.0,18.0477,34609.0,12.1677,3919.8347,2844.3337689127775,101.3,105.5097722175,2695.8013,2804.6917,2692.7864,0.014134216,0.0011196182,7.953084,7.899451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,完成采煤沉陷区棚户区改造建设和安置任务，实物安置4167套，货币化安置19056套，发放购房补贴22.91亿元,,,,,1.0,78.6043,79.35883964488833,3788.7,3600.6163,采煤沉陷区棚改14.2万套,,14.2,棚户区改造开工20.8万套,20.8,0.02183079,0.020946192,0.021899443,0.022275742,0.4555084,0.46333542,-0.76930404,0,4.3644266,4.37398,0,1.70514209950534,28836.0,228.83915,216.88905,27330.17,5.379386,10.215747,2.733017,436.52577400000007,16128.9665,0.036948487,1.0,0.09834463,0.035019018,-3.351864,-3.2982306,4.75,4.5019526,86.32,3807.0,0.022674022,0.47161967,,,429.0,6.7547,2897.7664,126628.96,0.0,,0.0,,0.0,,0.0,0.0011191368,high,5
黑龙江省,七台河市,1.0,2018.0,45900.0,13.68,38900.0,12.29,3355.2632,3165.1749389747765,102.0,107.61996766185001,2941.0667,2844.3337,2695.8013,0.11280012,0.090980515,8.059963,7.9865274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,1.0,77.71,78.1566129636568,3773.1,,棚改开工13.02万套，基本建成14.88万套,,13.02,,,,0.020714164,0.02183079,0.020946192,,,,0,4.352984,4.3587146,0,1.70514209950534,32028.0,250.32,232.59624,29760.277,5.449304,10.30093,2.9760277,130.94363500000006,23628.0452,0.18044439,1.0,0.036948487,0.16766813,-1.7857686,-1.7123326,4.75,4.413679,86.32,3807.0,0.022674022,,,,,6.6118,,,0.0,,,,0.0,,,0.087076664,high,5
海南省,三亚市,2.0,2014.0,1970683.0,100.99,1940495.0,99.13,19513.645,19575.254716029456,102.4,102.4,19116.459,14245.139,14245.139,0.37417087,0.3419637,9.882022,9.858305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,2.0,58.56,73.69481899457718,903.48,916.3361,,,,,,0.063906685,0.081567734,0.06347138,0.082891315,,,,0,4.0700517,4.2999325,1,0.686519683745842,54584.0,402.2558,392.82794,53304.688,5.9733715,10.88378,5.3304687,175.43533699999998,694271.9452,3.9574237,2.0,1.4705476,3.8646715,1.3518767,1.3755932,6.33,6.1816406,47.51,789.0,0.060215462,,,,2020.0,6.1424,12407.648,308451.7,1.0,,,,0.0,,,,middle,5
海南省,三亚市,2.0,2015.0,2036073.0,112.0789,1892377.0,105.1481,18166.426,17997.253397826495,101.0,103.42400000000002,17401.428,19575.254,19116.459,-0.080612004,-0.0897149,9.797975,9.764308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,制定棚户区改造三年计划，并争取到国开行贷款支持，2015年已落实一期18个项目的贷款资金，完成棚改9842户,0.9842,全市计划完成棚户区改造9842户,0.9842,-0.01592615,2.0,57.782,74.53950412090265,910.82,907.6669,开工改造棚户区3.58万户,,3.58,今年开工建设城镇保障房3.63万套，其中棚户区改造3.29万户,3.29,0.063659914,0.081837796,0.063906685,0.081567734,0.21025299,0.26835784,-1.315434,0,4.0566773,4.3113294,1,0.686519683745842,58361.0,435.02,420.61804,56428.875,6.041725,10.940736,5.6428876,197.47032800000002,421622.0,2.1351156,2.0,3.9574237,2.0644295,0.72485393,0.7585208,5.31,5.134205,47.51,789.0,0.060215462,0.19810887,0.013203737,,2392.0,6.2272,14895.462,342408.66,1.0,-0.01592615,-1.315434,-0.01592615,0.0,0.0,0.0,-0.093997,middle,5
海南省,三亚市,2.0,2016.0,2802246.0,151.53,2565186.0,141.52,18493.012,18125.960994912377,102.8,106.31987200000002,17048.516,17997.254,17401.428,0.007151485,-0.02028064,9.8051,9.743818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,圆满完成全市13514户(含农垦)棚改任务，完成农村危房改造800户，建成各类保障性住房2108套,1.3514,,,0.30114108,2.0,58.2303,75.15949931250296,917.0,902.1776,实施各类棚户区改造5.01万户(套),,5.01,改造城市棚户区2.45万户,2.45,0.06454416,0.08196238,0.063659914,0.081837796,0.15596679,0.2005026,-1.606928,0,4.064406,4.3196125,1,0.686519683745842,63273.0,475.5567,447.28864,59511.92,6.1032043,10.993932,5.9511924,314.51422799999995,444088.5198,1.4119823,2.0,2.1351156,1.3280512,0.28371263,0.3449946,4.75,4.4676504,47.51,789.0,0.060215462,0.14752789,0.017980428,-0.01592615,4180.0,6.6401,27755.617,583644.75,1.0,0.30114108,-1.606928,,0.0,0.0,0.0,-0.020489693,middle,5
海南省,三亚市,2.0,2017.0,5514558.0,213.79,4558712.0,194.73,25794.275,23410.42469059724,102.8,109.29682841600001,21419.125,18125.96,17048.516,0.29154116,0.25636303,10.060937,9.972039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"海坡、东岸片区棚改完成征拆,南边海环河口、阳光海岸、西瓜村、芒果村等片区棚改旧改加快推进,全年完成棚改任务8152户",0.8152,大力实施棚户区改造工程，重点推进29个棚改项目，确保完成8302户的年度棚改任务，争取货币化安置比例不低于50%,0.8302,-0.2043218,2.0,59.2206,75.84552880481513,925.76,910.4127,,,,,,0.06504808,0.08192785,0.06454416,0.08196238,,,,0,4.0812693,4.3286986,1,0.686519683745842,69780.0,529.2501,484.2319,63844.49,6.182564,11.064205,6.384449,114.364378,783882.5497999999,6.8542542,2.0,1.4119823,6.271229,1.8359723,1.9248695,4.75,4.3459635,47.51,789.0,0.060215462,,0.010748162,0.30114108,6975.0,6.7547,47114.03,890203.56,1.0,-0.2043218,,-0.18608864,0.0,0.0,,0.22822094,middle,5
海南省,三亚市,2.0,2018.0,6013700.0,244.79,4950400.0,212.95,24566.771,23246.77154261564,102.5,112.0292491264,20750.627,23410.424,21419.125,-0.0069905734,-0.031210335,10.053922,9.940331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,加快推进凤凰海岸、月川、南边海环河口等棚户区改造建设，完成棚改任务6519户，在建安置区项目13个,0.6519,确保年内完成5014户棚改任务。,,-0.4278641,2.0,61.4647,76.90549371077304,934.32,925.1,全省棚户区改造开工1.5万套,,1.5,,1.5,0.06644114,0.08231173,0.06504808,0.08192785,0.097572125,0.122891776,-2.0964513,0,4.118463,4.3425775,1,0.686519683745842,77434.0,595.51,531.5665,69119.45,6.2758284,11.143592,6.9119453,46.597107,151948.0,3.260889,2.0,6.8542542,2.910748,1.06841,1.1819999,4.75,4.239964,47.51,789.0,0.060215462,0.090323195,0.008476637,-0.2043218,,6.6118,,,1.0,-0.4278641,-2.0964513,,0.0,0.0,0.0,-0.031707764,middle,5
